nupdates,policy_entropy,fps,value_loss,explained_variance,total_timesteps,policy_loss,ep_len_mean,ep_reward_mean
1,9.932570457458496,108,0.8973121047019958,-0.6262609958648682,0,-0.31238090991973877,,
100,9.779997825622559,220,0.023678576573729515,-29.636587142944336,13959,-0.18243271112442017,1000.0,3.4890473571428573
200,9.78584098815918,221,0.049697112292051315,-5.59589147567749,28059,0.1294281780719757,1000.0,3.9360434285714283
300,9.806474685668945,227,0.12358932197093964,-7.113324165344238,42159,-0.16033296287059784,1000.0,5.473575690476191
400,9.846860885620117,228,0.20567025244235992,-0.25399208068847656,56259,-0.15113995969295502,1000.0,6.435446
500,9.891556739807129,227,0.5790327787399292,0.3889705538749695,70359,-0.26201826333999634,1000.0,8.462541557142856
600,9.907282829284668,223,12.176789283752441,0.32017606496810913,84459,-0.3679640293121338,1000.0,13.07841151190476
700,9.928614616394043,221,26.19635772705078,-0.029900789260864258,98559,-0.10997187346220016,1000.0,19.778900510204082
800,10.009878158569336,221,61.529842376708984,0.02350473403930664,112659,-0.034458957612514496,1000.0,33.01111019
900,10.074610710144043,222,166.20172119140625,0.007499873638153076,126759,-0.1321597546339035,1000.0,64.98883913999998
1000,10.080148696899414,223,291.47540283203125,0.0026415586471557617,140859,-0.2520296573638916,1000.0,127.17847727000002
1100,10.108180046081543,224,199.1039581298828,7.987022399902344e-06,154959,-0.15402615070343018,1000.0,276.52537619
1200,10.119081497192383,224,438.71282958984375,0.0032160282135009766,169059,-0.05667882785201073,1000.0,462.54527801000006
1300,10.141011238098145,225,544.6309814453125,3.927946090698242e-05,183159,-0.11749494820833206,1000.0,659.6906783500001
1400,10.169194221496582,225,858.7975463867188,5.8650970458984375e-05,197259,-0.2229163646697998,1000.0,875.10774963
1500,10.189088821411133,225,1031.7705078125,-3.3020973205566406e-05,211359,-0.0953383818268776,1000.0,1094.4978453600002
1600,10.208024978637695,226,1082.63818359375,-1.1920928955078125e-06,225459,-0.2658756673336029,1000.0,1306.6775894500001
1700,10.23249340057373,226,1166.63720703125,-7.271766662597656e-06,239559,-0.016780316829681396,1000.0,1493.43094459
1800,10.257527351379395,227,1330.6572265625,-4.410743713378906e-06,253659,-0.08726634830236435,1000.0,1613.3479183299999
1900,10.282618522644043,227,1416.5364990234375,-4.291534423828125e-06,267759,0.15174338221549988,1000.0,1683.7493068199997
2000,10.307679176330566,227,1583.109130859375,-1.1920928955078125e-06,281859,-0.14537779986858368,1000.0,1740.29007412
2100,10.325662612915039,228,1775.396484375,4.76837158203125e-06,295959,-0.41787996888160706,1000.0,1772.86966971
2200,10.360478401184082,228,1930.9571533203125,-1.6689300537109375e-06,310059,-0.11361947655677795,1000.0,1793.2976111399998
2300,10.375136375427246,228,2055.709716796875,1.7881393432617188e-07,324159,-0.22391405701637268,1000.0,1812.2913312200003
2400,10.410750389099121,229,2259.203857421875,2.384185791015625e-07,338259,-0.05647285655140877,1000.0,1827.68741056
2500,10.43867015838623,229,2421.49365234375,5.960464477539063e-08,352359,-0.2375926673412323,1000.0,1837.6050120600003
2600,10.469778060913086,229,2642.149169921875,5.960464477539063e-08,366459,-0.020316727459430695,1000.0,1850.23008853
2700,10.49177360534668,229,2831.342529296875,-2.384185791015625e-07,380559,0.09668566286563873,1000.0,1858.65138136
2800,10.51542854309082,229,3054.46923828125,5.960464477539063e-08,394659,-0.09692750871181488,1000.0,1869.42367169
2900,10.540802001953125,229,3315.98291015625,0.0,408759,-0.13809692859649658,1000.0,1885.0315871300002
3000,10.558442115783691,230,3498.65625,1.7881393432617188e-07,422859,-0.012234583497047424,1000.0,1891.3671896799997
3100,10.584101676940918,230,3759.516845703125,-1.1920928955078125e-07,436959,0.07659514248371124,1000.0,1896.61878974
3200,10.61192798614502,230,3985.330810546875,0.0,451059,-0.14201731979846954,1000.0,1904.7910869700002
3300,10.638554573059082,230,4222.390625,-1.1920928955078125e-07,465159,-0.3404613137245178,1000.0,1901.94050854
3400,10.668012619018555,230,4497.583984375,0.0,479259,-0.01914895325899124,1000.0,1903.6167430600003
3500,10.712529182434082,230,4748.642578125,-1.1920928955078125e-07,493359,-0.24019163846969604,1000.0,1905.9192627099994
3600,10.746922492980957,230,5034.361328125,2.980232238769531e-07,507459,0.12547853589057922,1000.0,1907.1156895899999
3700,10.779985427856445,230,5291.24951171875,-3.5762786865234375e-07,521559,-0.2081412971019745,1000.0,1907.2683247400005
3800,10.819157600402832,230,5555.7451171875,4.172325134277344e-07,535659,-0.07259617000818253,1000.0,1907.2188298600001
3900,10.849699974060059,230,5848.62890625,0.0,549759,-0.05759814381599426,1000.0,1910.3644296200002
4000,10.900847434997559,230,6160.6162109375,5.960464477539062e-07,563859,-0.28106245398521423,1000.0,1915.92092333
4100,10.922806739807129,230,6476.4892578125,1.7881393432617188e-07,577959,-0.07137733697891235,1000.0,1914.9902331399999
4200,10.955397605895996,230,6787.40673828125,2.384185791015625e-07,592059,-0.09459289163351059,1000.0,1916.38124722
4300,10.972397804260254,230,7094.97509765625,-2.384185791015625e-07,606159,-0.14151252806186676,1000.0,1912.5825765200002
4400,10.985230445861816,231,7418.90380859375,3.5762786865234375e-07,620259,-0.22309353947639465,1000.0,1912.4836803800001
4500,11.019272804260254,231,7767.84619140625,-1.1920928955078125e-07,634359,-0.2088618278503418,1000.0,1915.2567607999997
4600,11.04107666015625,231,8115.6689453125,1.7881393432617188e-07,648459,-0.25777482986450195,1000.0,1912.7595420800008
4700,11.068842887878418,231,8444.861328125,0.0,662559,0.23587730526924133,1000.0,1909.4498210900001
4800,11.096592903137207,230,8799.3662109375,1.7881393432617188e-07,676659,-0.16209344565868378,1000.0,1910.12791689
4900,11.115874290466309,231,9181.9013671875,-1.1920928955078125e-07,690759,0.029401466250419617,1000.0,1913.38723501
5000,11.179560661315918,231,9494.9951171875,1.1920928955078125e-07,704859,-0.041521526873111725,1000.0,1917.17574296
5100,11.203984260559082,231,9879.6416015625,2.980232238769531e-07,718959,-0.05576493591070175,1000.0,1917.0348659599997
5200,11.250856399536133,231,10276.0078125,5.960464477539063e-08,733059,0.14742735028266907,1000.0,1915.2711092700001
5300,11.306868553161621,231,10654.544921875,0.0,747159,0.1326107382774353,1000.0,1918.3046214699998
5400,11.35413646697998,231,10975.8046875,0.0,761259,-0.4212227165699005,1000.0,1922.62574275
5500,11.398940086364746,231,11371.017578125,-1.1920928955078125e-07,775359,-0.3623022139072418,1000.0,1926.8447346499995
5600,11.444792747497559,231,11380.041015625,0.0,789459,-0.14076846837997437,1000.0,1929.3100622800002
5700,11.447328567504883,231,10362.0185546875,0.06805413961410522,803559,-0.23431378602981567,1000.0,1789.6087209199998
5800,11.452254295349121,231,9529.2021484375,-17.388286590576172,817659,0.16267037391662598,1000.0,1649.5433656899997
5900,11.458497047424316,231,7579.89306640625,0.610076904296875,831759,0.029901400208473206,1000.0,1559.44673684
6000,11.464781761169434,231,7722.958984375,0.31434959173202515,845859,-0.04127795249223709,1000.0,1486.5825914400002
6100,11.476176261901855,231,10167.0703125,-1.2363240718841553,859959,0.018749810755252838,1000.0,1434.8221615399996
6200,11.476792335510254,231,10654.5322265625,0.13899999856948853,874059,-0.21233975887298584,1000.0,1431.38646599
6300,11.47858715057373,232,11246.6796875,-0.06848883628845215,888159,-0.14348788559436798,1000.0,1448.3820077399996
6400,11.486494064331055,232,10176.11328125,0.2677425146102905,902259,-0.02293364703655243,1000.0,1580.04189155
6500,11.496809959411621,232,11326.015625,-0.1574956178665161,916359,-0.26691335439682007,1000.0,1777.96348762
6600,11.501317024230957,232,9229.9365234375,0.3783889412879944,930459,-0.21818190813064575,1000.0,1910.6044284800003
6700,11.502501487731934,232,10718.908203125,0.11755764484405518,944559,-0.0239417627453804,1000.0,2062.4605528
6800,11.506285667419434,232,9579.9033203125,0.3060862421989441,958659,-0.09663863480091095,1000.0,2198.26822984
6900,11.514985084533691,232,11442.265625,-0.14796268939971924,972759,-0.05265660583972931,1000.0,2318.7933353099997
7000,11.51868724822998,232,9178.0869140625,0.35257941484451294,986859,-0.040662430226802826,1000.0,2412.3925424799995
7100,11.522191047668457,232,9056.9072265625,0.2813919186592102,1000959,-0.13131669163703918,1000.0,2531.25660581
7200,11.525038719177246,232,10655.783203125,0.2683837413787842,1015059,-0.3712759017944336,1000.0,2618.89310201
7300,11.536635398864746,232,9029.5908203125,0.22778171300888062,1029159,-0.18534070253372192,1000.0,2751.6608748299996
7400,11.539586067199707,232,11772.6337890625,0.2049165964126587,1043259,-0.05791785195469856,1000.0,2891.0078254
7500,11.546219825744629,232,11202.5380859375,0.09541422128677368,1057359,0.05334736406803131,1000.0,3006.8966419899994
7600,11.556214332580566,232,9061.2685546875,0.42711347341537476,1071459,-0.19257280230522156,1000.0,3134.33774618
7700,11.554994583129883,232,9548.4326171875,0.32668912410736084,1085559,0.09127639979124069,1000.0,3297.6407201499997
7800,11.559189796447754,232,9726.078125,0.4161956310272217,1099659,0.0759328156709671,1000.0,3475.757058240001
7900,11.566452980041504,232,11719.7578125,0.11564183235168457,1113759,-0.08119384944438934,1000.0,3699.2614646200004
8000,11.571681022644043,232,15163.0947265625,0.19342243671417236,1127859,0.011140592396259308,1000.0,3880.7086298000004
8100,11.573908805847168,232,10016.400390625,0.4042414426803589,1141959,0.22349479794502258,1000.0,4117.818938879999
8200,11.576939582824707,232,10522.1533203125,0.0894627571105957,1156059,0.10573001950979233,1000.0,4348.4294770999995
8300,11.582671165466309,232,11168.8515625,0.3239254951477051,1170159,-0.15388397872447968,1000.0,4580.02306973
8400,11.584001541137695,232,12169.4423828125,0.08099007606506348,1184259,0.05312290042638779,1000.0,4822.7855297900005
8500,11.587983131408691,232,10264.166015625,0.003972411155700684,1198359,0.08199960738420486,1000.0,5071.69377419
8600,11.588963508605957,232,11178.796875,0.13139832019805908,1212459,0.00643070787191391,1000.0,5287.87042183
8700,11.59208869934082,232,12813.052734375,0.36796140670776367,1226559,-0.012407660484313965,1000.0,5517.807600550002
8800,11.596176147460938,232,11685.96484375,-0.0006483793258666992,1240659,-0.3871847689151764,1000.0,5741.9053779900005
8900,11.59839916229248,232,12808.3388671875,0.11348378658294678,1254759,-0.10646353662014008,1000.0,5931.362762720001
9000,11.598902702331543,232,13069.2392578125,0.16538918018341064,1268859,-0.08709214627742767,1000.0,6105.6508923
9100,11.601851463317871,232,11351.099609375,0.0005880594253540039,1282959,-0.021799899637699127,1000.0,6225.424813510001
9200,11.605616569519043,232,12350.703125,0.15389513969421387,1297059,-0.11415325850248337,1000.0,6342.464056809999
9300,11.603718757629395,232,14072.7666015625,0.19315040111541748,1311159,-0.2073969542980194,1000.0,6415.69876308
9400,11.605708122253418,232,12445.0966796875,-0.0011358261108398438,1325259,0.05216061323881149,1000.0,6514.08571118
9500,11.611872673034668,232,13458.982421875,0.014941751956939697,1339359,0.01084088534116745,1000.0,6604.69372257
9600,11.616072654724121,232,13104.79296875,-0.0006365776062011719,1353459,0.05772152543067932,1000.0,6638.00509042
9700,11.620366096496582,232,14189.248046875,0.04501950740814209,1367559,-0.13238222897052765,1000.0,6752.490150960001
9800,11.620850563049316,232,13480.4365234375,-6.341934204101562e-05,1381659,-0.1423264741897583,1000.0,6869.741835300001
9900,11.623148918151855,232,14294.6728515625,-0.0009225606918334961,1395759,0.21825067698955536,1000.0,7022.423251080001
10000,11.62464427947998,232,16512.482421875,0.10320621728897095,1409859,-0.6080471277236938,1000.0,7151.06949959
10100,11.629841804504395,232,18191.962890625,0.12476348876953125,1423959,-0.1769692599773407,1000.0,7277.186143789999
10200,11.632603645324707,232,15771.1591796875,1.4424324035644531e-05,1438059,-0.33420851826667786,1000.0,7413.883844409999
10300,11.635481834411621,232,15593.8212890625,4.4286251068115234e-05,1452159,0.1964581310749054,1000.0,7557.576217690001
10400,11.64030647277832,232,16164.2138671875,-4.57763671875e-05,1466259,-0.11347763240337372,1000.0,7639.915285629999
10500,11.642350196838379,232,19055.466796875,0.08677953481674194,1480359,-0.18023616075515747,1000.0,7755.716548300002
10600,11.647675514221191,232,17514.248046875,0.00018543004989624023,1494459,-0.1794087290763855,1000.0,7811.00876745
10700,11.64937973022461,232,18947.888671875,3.1888484954833984e-05,1508559,-0.15882128477096558,1000.0,7907.052320899999
10800,11.652283668518066,232,18246.130859375,-1.4424324035644531e-05,1522659,-0.2315942943096161,1000.0,7997.88563551
10900,11.656523704528809,232,18759.533203125,-1.1920928955078125e-06,1536759,-0.0845944732427597,1000.0,8067.368564270001
11000,11.661255836486816,232,20120.33984375,-2.1338462829589844e-05,1550859,-0.23076581954956055,1000.0,8105.852385320001
11100,11.66755199432373,232,20498.63671875,0.09388023614883423,1564959,0.04193752259016037,1000.0,8153.46989643
11200,11.667435646057129,232,20276.96875,-5.4836273193359375e-06,1579059,-0.07461230456829071,1000.0,8230.167283370001
11300,11.670853614807129,232,20798.62890625,3.540515899658203e-05,1593159,0.10807032883167267,1000.0,8293.29873404
11400,11.669188499450684,232,21797.353515625,0.0001023411750793457,1607259,-0.2478107213973999,1000.0,8324.91970603
11500,11.672501564025879,232,20882.439453125,-1.1920928955078125e-05,1621359,0.05201776325702667,1000.0,8356.727352599999
11600,11.674666404724121,232,21921.099609375,-4.291534423828125e-06,1635459,-0.16378706693649292,1000.0,8404.186933680001
11700,11.677067756652832,232,22117.794921875,3.814697265625e-06,1649559,-0.05852695181965828,1000.0,8422.867670669999
11800,11.680577278137207,233,22959.51953125,1.2516975402832031e-05,1663659,-0.5307508707046509,1000.0,8444.95317395
11900,11.685088157653809,233,23772.640625,2.086162567138672e-06,1677759,-0.09054488688707352,1000.0,8480.019072930001
12000,11.690043449401855,233,24102.693359375,-5.9604644775390625e-06,1691859,-0.17965006828308105,1000.0,8531.1382553
12100,11.69317626953125,233,24401.390625,2.384185791015625e-06,1705959,-0.28585705161094666,1000.0,8580.61240974
12200,11.695310592651367,233,25551.13671875,-1.2755393981933594e-05,1720059,-0.11253835260868073,1000.0,8576.632187789999
12300,11.70258617401123,233,25912.185546875,1.4185905456542969e-05,1734159,-0.22780880331993103,1000.0,8646.98653647
12400,11.709293365478516,233,26730.03515625,-1.9073486328125e-06,1748259,-0.02459818124771118,1000.0,8704.08054653
12500,11.711013793945312,233,27179.9140625,-3.9696693420410156e-05,1762359,0.2575264871120453,1000.0,8780.621269790001
12600,11.71381664276123,233,27222.287109375,2.276897430419922e-05,1776459,0.13694311678409576,1000.0,8858.82137673
12700,11.718888282775879,233,27600.947265625,8.344650268554688e-07,1790559,-0.3938051462173462,1000.0,8860.76311283
12800,11.722193717956543,233,30623.103515625,0.0025266408920288086,1804659,-0.05983744561672211,1000.0,8886.06174501
12900,11.72364616394043,233,29088.2109375,-1.5735626220703125e-05,1818759,-0.11333385854959488,1000.0,8969.38164001
13000,11.723921775817871,233,29292.560546875,3.3974647521972656e-06,1832859,-0.05424943566322327,1000.0,8984.034080299998
13100,11.72887134552002,233,30258.943359375,7.033348083496094e-06,1846959,-0.1848250925540924,1000.0,9039.31411364
13200,11.733170509338379,233,30694.693359375,-1.1682510375976562e-05,1861059,-0.14950363337993622,1000.0,9080.487481760001
13300,11.738163948059082,233,30464.4140625,-1.537799835205078e-05,1875159,0.03435676544904709,1000.0,9082.21388526
13400,11.742094993591309,233,32615.224609375,8.64267349243164e-06,1889259,0.0037827715277671814,1000.0,9146.74179766
13500,11.745894432067871,233,32790.21875,0.0,1903359,-0.3651284873485565,1000.0,9198.62385461
13600,11.748505592346191,233,34160.12890625,-4.291534423828125e-06,1917459,-0.23703768849372864,1000.0,9222.126091350001
13700,11.752501487731934,233,33693.58203125,3.337860107421875e-06,1931559,-0.22921815514564514,1000.0,9251.91435123
13800,11.757994651794434,233,34852.06640625,5.245208740234375e-06,1945659,-0.33020007610321045,1000.0,9271.19130972
13900,11.761185646057129,233,34583.6484375,4.649162292480469e-06,1959759,-0.1297377347946167,1000.0,9274.233168820001
14000,11.76765251159668,233,35829.9609375,-1.1801719665527344e-05,1973859,0.020390726625919342,1000.0,9293.82966687
14100,11.770695686340332,233,40864.23828125,0.03803163766860962,1987959,-0.4203982353210449,1000.0,9294.26547636
14200,11.772215843200684,233,36554.1484375,1.055002212524414e-05,2002059,0.13919535279273987,1000.0,9274.889198750001
